<LOG>1 : 22/12/2020  15:00:17 <Debug>:host
<LOG>2 : 22/12/2020  15:00:17 <Debug>:UDP Socket creaded
<LOG>3 : 22/12/2020  15:00:17 <Debug>:Read Request Packet01./1.gif octet 
<LOG>4 : 22/12/2020  15:00:22 <Debug>:Data Packet with block no:1
<LOG>5 : 22/12/2020  15:00:22 <Debug>:Acknowledgement Packet04 1
<LOG>6 : 22/12/2020  15:00:25 <Debug>:Data Packet with block no:20
<LOG>7 : 22/12/2020  15:00:25 <Debug>:Acknowledgement Packet04 20
<LOG>8 : 22/12/2020  15:00:28 <Debug>:Data Packet with block no:21
<LOG>9 : 22/12/2020  15:00:28 <Debug>:Acknowledgement Packet04 21
<LOG>10 : 22/12/2020  15:00:31 <Debug>:Data Packet with block no:22
<LOG>11 : 22/12/2020  15:00:31 <Debug>:Acknowledgement Packet04 22
<LOG>12 : 22/12/2020  15:00:33 <Debug>:Data Packet with block no:23
<LOG>13 : 22/12/2020  15:00:33 <Debug>:Acknowledgement Packet04 23
<LOG>14 : 22/12/2020  15:00:36 <Debug>:Data Packet with block no:24
<LOG>15 : 22/12/2020  15:00:36 <Debug>:Acknowledgement Packet04 24
<LOG>16 : 22/12/2020  15:00:39 <Debug>:Data Packet with block no:25
<LOG>17 : 22/12/2020  15:00:39 <Debug>:Acknowledgement Packet04 25
<LOG>18 : 22/12/2020  15:00:49 <Debug>:Data Packet with block no:26
<LOG>19 : 22/12/2020  15:00:49 <Debug>:Acknowledgement Packet04 26
<LOG>20 : 22/12/2020  15:00:59 <Debug>:Data Packet with block no:27
<LOG>21 : 22/12/2020  15:00:59 <Debug>:Acknowledgement Packet04 27
<LOG>22 : 22/12/2020  15:01:00 <Debug>:Data Packet with block no:28
<LOG>23 : 22/12/2020  15:01:00 <Debug>:Acknowledgement Packet04 28
<LOG>24 : 22/12/2020  15:01:02 <Debug>:Data Packet with block no:29
<LOG>25 : 22/12/2020  15:01:02 <Debug>:Acknowledgement Packet04 29
<LOG>26 : 22/12/2020  15:01:04 <Debug>:Data Packet with block no:30
<LOG>27 : 22/12/2020  15:01:04 <Debug>:Acknowledgement Packet04 30
<LOG>28 : 22/12/2020  15:01:20 <Debug>:Data Packet with block no:31
<LOG>29 : 22/12/2020  15:01:20 <Debug>:Acknowledgement Packet04 31
<LOG>30 : 22/12/2020  15:01:21 <Debug>:Data Packet with block no:32
<LOG>31 : 22/12/2020  15:01:21 <Debug>:Acknowledgement Packet04 32
<LOG>32 : 22/12/2020  15:01:22 <Debug>:Data Packet with block no:33
<LOG>33 : 22/12/2020  15:01:22 <Debug>:Acknowledgement Packet04 33
